keep.cdc-boundaries/v1
case	chunk_count	boundaries
empty	0	-
tiny	1	13
min-minus-one	1	16383
min-exact	1	16384
min-plus-one	1	16385
target-minus-one	1	65535
target-exact	1	65536
target-plus-one	1	65537
max-minus-one	1	262143
max-exact	1	262144
max-plus-one	2	262144,262145
zeros-long	4	262144,524288,786432,1048576
ff-long	4	262144,524288,786432,1048576
alternating-long	4	262144,524288,786432,1048576
random-long	15	74546,141472,223749,276775,346068,433199,456226,552063,612620,685215,764736,841931,908556,1004190,1048576
source-like	3	262144,524288,577536
probe-byte-carry	3	74546,141472,150000
short-mask-match	2	45619,60000
natural-cut-runt	2	45619,45626
edit-base	7	94792,170789,237018,319416,402789,472009,524288
early-insert	7	94801,170798,237027,319425,402798,472018,524297
early-delete	7	94775,170772,237001,319399,402772,471992,524271
early-xor	7	94792,170789,237018,319416,402789,472009,524288
target-long-transition	8	65536,144789,212326,237018,319416,402789,472009,524288
