# keep.golden-file-worldline.invalid-text/v1
case	input_hex	expected_outcome
empty-input		keep.identity.malformed_structure
wrong-scheme	6b6570743a626c6f623a76313a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.invalid_scheme
wrong-kind	6b6565703a6368756e6b3a76313a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.invalid_kind
malformed-version	6b6565703a626c6f623a313a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.malformed_version
unsupported-version	6b6565703a626c6f623a76323a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.unsupported_version
unsupported-algorithm	6b6565703a626c6f623a76313a7368613235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.unsupported_algorithm
leading-zero-length	6b6565703a626c6f623a76313a626c616b65332d3235363a3032363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.noncanonical_length
signed-length	6b6565703a626c6f623a76313a626c616b65332d3235363a2b32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.noncanonical_length
length-overflow	6b6565703a626c6f623a76313a626c616b65332d3235363a31383434363734343037333730393535313631363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.length_overflow
short-digest	6b6565703a626c6f623a76313a626c616b65332d3235363a32363a3137653061656662653031646335653237396134396436326437353464366264313362336365643334313632336335636630636130313766363363363461	keep.identity.invalid_digest_length
uppercase-digest	6b6565703a626c6f623a76313a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613141	keep.identity.invalid_digest_character
nonhex-digest	6b6565703a626c6f623a76313a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613167	keep.identity.invalid_digest_character
trailing-field	6b6565703a626c6f623a76313a626c616b65332d3235363a32363a313765306165666265303164633565323739613439643632643735346436626431336233636564333431363233633563663063613031376636336336346131323a6578747261	keep.identity.malformed_structure
leading-space	206b6565703a626c6f623a76313a626c616b65332d3235363a32363a31376530616566626530316463356532373961343964363264373534643662643133623363656433343136323363356366306361303137663633633634613132	keep.identity.invalid_scheme
trailing-newline	6b6565703a626c6f623a76313a626c616b65332d3235363a32363a313765306165666265303164633565323739613439643632643735346436626431336233636564333431363233633563663063613031376636336336346131320a	keep.identity.invalid_digest_length
