keep.flat-chunk-layout-id.invalid-text/v1
case	input_hex	expected_outcome
input-too-long	616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161	layout-id.input-too-long
empty-input		layout-id.malformed-structure
wrong-scheme	6b6570743a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.wrong-scheme
wrong-kind	6b6565703a626c6f623a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.wrong-kind
malformed-version	6b6565703a6c61796f75743a313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.malformed-version
leading-zero-version	6b6565703a6c61796f75743a7630313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.malformed-version
unsupported-version	6b6565703a6c61796f75743a76323a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.unsupported-version
unsupported-codec	6b6565703a6c61796f75743a76313a747265652d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.unsupported-codec
unsupported-algorithm	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a7368613235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.unsupported-algorithm
leading-zero-plan-length	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a303137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.noncanonical-plan-length
signed-plan-length	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a2b3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.noncanonical-plan-length
plan-length-overflow	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a31383434363734343037333730393535313631363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.plan-length-overflow
plan-length-out-of-bounds	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137353a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.plan-length-out-of-bounds
plan-length-not-congruent	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137373a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.plan-length-not-congruent
short-digest	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a353339353136636335326665373433336533613938346134653261343837373637363637336262363264363230336138386466653163653235336332633066	layout-id.invalid-digest-length
uppercase-digest	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306646	layout-id.noncanonical-digest-case
nonhex-digest	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306667	layout-id.invalid-digest-alphabet
trailing-field	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a353339353136636335326665373433336533613938346134653261343837373637363637336262363264363230336138386466653163653235336332633066383a6578747261	layout-id.trailing-data
leading-space	206b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a35333935313663633532666537343333653361393834613465326134383737363736363733626236326436323033613838646665316365323533633263306638	layout-id.wrong-scheme
trailing-newline	6b6565703a6c61796f75743a76313a666c61742d6368756e6b732d76313a626c616b65332d3235363a3137363a353339353136636335326665373433336533613938346134653261343837373637363637336262363264363230336138386466653163653235336332633066380a	layout-id.invalid-digest-length
