keep.flat-chunk-layout-mutations/v1
case	base_case	operation	offset	span_length	parameter	checksum_posture	decision_phase	expected_outcome	requirement
wrong-record-magic	empty	xor-v1	0	1	01	recompute-v1	decoding	layout.wrong-magic	KEEP-LAYOUT-001
unsupported-format-version	empty	replace-v1	16	2	0002	recompute-v1	decoding	layout.unsupported-format-version	KEEP-LAYOUT-001
unsupported-layout-codec	empty	replace-v1	18	2	0002	recompute-v1	decoding	layout.unsupported-codec	KEEP-LAYOUT-001
unknown-mandatory-flag	empty	replace-v1	20	4	00000001	recompute-v1	decoding	layout.unknown-flags	KEEP-LAYOUT-010
wrong-header-length	empty	replace-v1	24	2	0091	recompute-v1	decoding	layout.wrong-header-length	KEEP-LAYOUT-001
wrong-entry-length	empty	replace-v1	26	2	002d	recompute-v1	decoding	layout.wrong-entry-length	KEEP-LAYOUT-001
wrong-record-length	one-zero	replace-v1	28	8	00000000000000db	recompute-v1	decoding	layout.record-length-mismatch	KEEP-LAYOUT-011
entry-count-length-mismatch	one-zero	replace-v1	36	4	00000002	recompute-v1	decoding	layout.entry-count-length-mismatch	KEEP-LAYOUT-011
unsupported-checksum-algorithm	empty	replace-v1	40	1	02	recompute-v1	decoding	layout.unsupported-checksum-algorithm	KEEP-LAYOUT-012
unsupported-chunk-hash-algorithm	one-zero	replace-v1	41	1	02	recompute-v1	decoding	layout.unsupported-chunk-hash-algorithm	KEEP-LAYOUT-005
unsupported-chunk-identity-version	one-zero	replace-v1	42	2	0002	recompute-v1	decoding	layout.unsupported-chunk-identity-version	KEEP-LAYOUT-005
wrong-blob-id-magic	one-zero	xor-v1	44	1	01	recompute-v1	validation	layout.blob-id-wrong-magic	KEEP-LAYOUT-003
unsupported-blob-id-version	one-zero	replace-v1	60	2	0002	recompute-v1	validation	layout.blob-id-unsupported-version	KEEP-LAYOUT-003
unsupported-blob-id-algorithm	one-zero	replace-v1	62	1	02	recompute-v1	validation	layout.blob-id-unsupported-algorithm	KEEP-LAYOUT-003
blob-logical-length-mismatch	one-zero	replace-v1	63	8	0000000000000000	recompute-v1	validation	layout.aggregate-length-mismatch	KEEP-LAYOUT-007
blob-digest-substitution	one-zero	xor-v1	71	1	01	recompute-v1	verification	layout.reconstruction-mismatch	KEEP-LAYOUT-014
unsupported-profile-identity-version	one-zero	replace-v1	103	2	0002	recompute-v1	admission	layout.unsupported-storage-profile-version	KEEP-LAYOUT-004
unsupported-profile-hash-algorithm	one-zero	replace-v1	105	1	02	recompute-v1	admission	layout.unsupported-storage-profile-algorithm	KEEP-LAYOUT-004
unregistered-profile-digest	one-zero	xor-v1	106	1	01	recompute-v1	admission	layout.unsupported-storage-profile	KEEP-LAYOUT-004
nonzero-reserved-byte	empty	replace-v1	138	1	01	recompute-v1	decoding	layout.nonzero-reserved	KEEP-LAYOUT-010
first-offset-not-zero	one-zero	replace-v1	144	8	0000000000000001	recompute-v1	validation	layout.first-offset-not-zero	KEEP-LAYOUT-006
zero-chunk-length	one-zero	replace-v1	152	4	00000000	recompute-v1	validation	layout.zero-chunk-length	KEEP-LAYOUT-005
final-chunk-over-profile-maximum	one-zero	replace-v1	152	4	00040001	recompute-v1	validation	layout.profile-length-out-of-bounds	KEEP-LAYOUT-005
chunk-digest-substitution	one-zero	xor-v1	156	1	01	recompute-v1	verification	layout.chunk-mismatch	KEEP-LAYOUT-014
record-checksum-bit-flip	one-zero	xor-v1	188	1	01	preserve-v1	validation	layout.checksum-mismatch	KEEP-LAYOUT-012
truncated-record	one-zero	delete-v1	219	1	-	preserve-v1	decoding	layout.truncated-record	KEEP-LAYOUT-011
trailing-byte	one-zero	insert-v1	220	0	00	preserve-v1	decoding	layout.trailing-data	KEEP-LAYOUT-011
inserted-duplicate-flags-field	one-zero	insert-v1	24	0	00000000	preserve-v1	decoding	layout.record-length-mismatch	KEEP-LAYOUT-011
entry-order-swap	zeros-long	swap-v1	188	44	232	recompute-v1	validation	layout.entry-out-of-order	KEEP-LAYOUT-006
entry-gap	max-plus-one-zeros	replace-v1	188	8	0000000000040001	recompute-v1	validation	layout.gap	KEEP-LAYOUT-006
entry-overlap	max-plus-one-zeros	replace-v1	188	8	000000000003ffff	recompute-v1	validation	layout.overlap	KEEP-LAYOUT-006
final-aggregate-mismatch	max-plus-one-zeros	replace-v1	196	4	00000002	recompute-v1	validation	layout.aggregate-length-mismatch	KEEP-LAYOUT-007
empty-blob-with-entry	one-zero	replace-v1	44	59	4b4545503a424c4f423a4944000000000001010000000000000000c0074a279c09f9d019dc10e4c821f79f1450cfb8541ab4627132ab9f3c75e33f	recompute-v1	validation	layout.empty-blob-has-entries	KEEP-LAYOUT-008
nonempty-blob-without-entry	empty	replace-v1	44	59	4b4545503a424c4f423a49440000000000010100000000000000011cfb8fa9e917aba15a1f592095f377ff180755fe1212b0d7d2ec750bd128b606	recompute-v1	validation	layout.nonempty-blob-has-no-entries	KEEP-LAYOUT-008
entry-count-limit-exceeded	empty	replace-v1	36	4	00100001	recompute-v1	decoding	layout.entry-count-limit-exceeded	KEEP-LAYOUT-009
record-length-limit-exceeded	empty	replace-v1	28	8	0000000002c000b1	recompute-v1	decoding	layout.record-length-limit-exceeded	KEEP-LAYOUT-009
