keep.segment-store.transitions/v1
crash_id	phase	operation	pre_state	interrupted_class	post_state	recovery_posture
KEEP-CRASH-001	segment	create-fixed-stage	no-segment-stage	truncated-tail	empty-segment-stage	refuse-until-explicit-discard
KEEP-CRASH-002	segment	write-header	empty-segment-stage	truncated-tail-or-reusable-stage	reusable-segment-stage	verify-prefix
KEEP-CRASH-003	segment	append-record	reusable-segment-stage	truncated-tail-or-reusable-stage	reusable-segment-stage	verify-prefix
KEEP-CRASH-004	segment	flush-record-prefix	reusable-segment-stage	truncated-tail-or-reusable-stage	flushed-segment-stage	verify-prefix
KEEP-CRASH-005	segment	sync-record-prefix	flushed-segment-stage	truncated-tail-or-reusable-stage	durable-reusable-segment-stage	verify-prefix
KEEP-CRASH-006	segment	append-seal	reusable-segment-stage	truncated-tail-or-valid-sealed-stage	valid-sealed-stage	verify-complete-seal
KEEP-CRASH-007	segment	flush-sealed-stage	valid-sealed-stage	truncated-tail-or-valid-sealed-stage	flushed-sealed-stage	verify-complete-seal
KEEP-CRASH-008	segment	sync-sealed-stage	flushed-sealed-stage	truncated-tail-or-valid-sealed-stage	durable-sealed-stage	verify-complete-seal
KEEP-CRASH-009	segment	link-sealed-stage	durable-sealed-stage	valid-sealed-stage-or-valid-orphan-or-ambiguity	linked-segment-orphan	verify-no-clobber-link-and-digest
KEEP-CRASH-010	segment	sync-segment-directory	linked-segment-orphan	valid-sealed-stage-or-valid-orphan	durable-linked-segment-orphan	preserve-invisible
KEEP-CRASH-011	segment	unlink-segment-stage	durable-linked-segment-orphan	valid-orphan	segment-stage-unlinked	preserve-pool-link
KEEP-CRASH-012	segment	sync-staging-directory	segment-stage-unlinked	valid-orphan	durable-segment-orphan	preserve-invisible
KEEP-CRASH-013	catalog	create-fixed-stage	no-catalog-stage	truncated-tail	empty-catalog-stage	refuse-until-explicit-discard
KEEP-CRASH-014	catalog	write-generation	empty-catalog-stage	truncated-tail-or-valid-stage	valid-catalog-stage	verify-complete-catalog
KEEP-CRASH-015	catalog	flush-generation	valid-catalog-stage	truncated-tail-or-valid-stage	flushed-catalog-stage	verify-complete-catalog
KEEP-CRASH-016	catalog	sync-generation	flushed-catalog-stage	truncated-tail-or-valid-stage	durable-catalog-stage	verify-complete-catalog
KEEP-CRASH-017	catalog	link-generation	durable-catalog-stage	valid-catalog-stage-or-valid-orphan-or-ambiguity	linked-catalog-orphan	verify-no-clobber-link-and-digest
KEEP-CRASH-018	catalog	sync-catalog-directory	linked-catalog-orphan	valid-catalog-stage-or-valid-orphan	durable-linked-catalog-orphan	preserve-invisible
KEEP-CRASH-019	catalog	unlink-catalog-stage	durable-linked-catalog-orphan	valid-orphan	catalog-stage-unlinked	preserve-pool-link
KEEP-CRASH-020	catalog	sync-staging-directory	catalog-stage-unlinked	valid-orphan	durable-catalog-orphan	preserve-invisible
KEEP-CRASH-021	head	create-next-head	no-next-head	truncated-tail	empty-next-head	refuse-until-explicit-discard
KEEP-CRASH-022	head	write-next-head	empty-next-head	truncated-tail-or-valid-next-head	valid-next-head	verify-generation-and-catalog
KEEP-CRASH-023	head	flush-next-head	valid-next-head	truncated-tail-or-valid-next-head	flushed-next-head	verify-generation-and-catalog
KEEP-CRASH-024	head	sync-next-head	flushed-next-head	truncated-tail-or-valid-next-head	durable-next-head	verify-generation-and-catalog
KEEP-CRASH-025	head	replace-current-head	durable-next-head	valid-next-head-or-published-generation-or-ambiguity	replaced-current-head	verify-one-atomic-head
KEEP-CRASH-026	head	sync-root-directory	replaced-current-head	valid-next-head-or-published-generation-or-ambiguity	published-generation-admitted	verify-complete-reader-snapshot
KEEP-CRASH-027	recovery	unlink-truncated-stage	named-truncated-stage	named-truncated-stage-or-unlinked-stage	unlinked-truncated-stage	verify-requested-stage-fingerprint
KEEP-CRASH-028	recovery	sync-staging-after-discard	unlinked-truncated-stage	named-truncated-stage-or-discarded-stage	discarded-truncated-stage	report-explicit-discard
KEEP-CRASH-029	recovery	unlink-next-head	named-unpublishable-next-head	named-unpublishable-next-head-or-unlinked-next-head	unlinked-next-head	verify-requested-next-head-fingerprint
KEEP-CRASH-030	recovery	sync-root-after-next-head-discard	unlinked-next-head	named-unpublishable-next-head-or-discarded-next-head	discarded-next-head	report-explicit-next-head-discard
