keep.segment-store.definition/v2
key	value
domain.empty-disposition-set	keep.empty-disposition-set/v2\0
domain.format-definition	keep.segment-store-definition/v2\0
domain.format-marker	keep.store-format-marker/v2\0
domain.format-marker-checksum	keep.segment-store-marker-checksum/v2\0
domain.gc-candidate-set	keep.gc-candidate-set/v2\0
domain.gc-intent	keep.gc-retirement-intent/v2\0
domain.gc-intent-checksum	keep.gc-retirement-intent-checksum/v2\0
domain.gc-receipt-checksum	keep.gc-retirement-receipt-checksum/v2\0
domain.initial-gc-state	keep.initial-gc-state/v2\0
domain.initial-retention-state	keep.initial-retention-state/v2\0
domain.migration-intent	keep.store-migration-intent/v2\0
domain.migration-intent-checksum	keep.store-migration-intent-checksum/v2\0
domain.migration-inventory	keep.store-v1-pool-inventory/v2\0
domain.migration-receipt-checksum	keep.store-migration-receipt-checksum/v2\0
domain.recovery-disposition-checksum	keep.recovery-disposition-receipt-checksum/v2\0
domain.retention-anchor-set	keep.retention-anchor-set/v2\0
domain.retention-head-checksum	keep.retention-head-checksum/v2\0
domain.retention-manifest	keep.retention-manifest/v2\0
domain.retention-manifest-checksum	keep.retention-manifest-checksum/v2\0
domain.retention-manifest-entries	keep.retention-manifest-entries/v2\0
domain.retention-namespace	keep.retention-namespace/v1\0
domain.retention-profile	keep.retention-realization-profile/v1\0
domain.retention-root	keep.retention-root/v2\0
domain.retention-root-checksum	keep.retention-root-checksum/v2\0
domain.store-identifier	keep.store-identifier/v2\0
format.coordinate	keep.segment-store/v2
format.marker.fields	magic:16,version:u16,record_length:u16,flags:u32,definition_digest:32,maximum_namespace_count:u32,reserved:u32,checksum:32
format.marker.length	96
format.marker.magic	KEEP:STORE:V2\0\0\0
format.marker.version	2
gc.intent.candidate-width	72
gc.intent.fields	magic:16,version:u16,header_length:u16,flags:u32,total_length:u64,generation:u64,candidate_width:u16,reserved:u16,candidate_count:u32,liveness_generation:u64,manifest_digest:32,catalog_generation:u64,catalog_digest:32,profile_identity:u32,profile_version:u32,profile_digest:32,catalog_proof_digest:32,pool_digest:32,disposition_set_digest:32,reader_device:u64,reader_mount:u64,reader_file:u64,candidate_set_digest:32,candidates:count*72,intent_digest:32,checksum:32
gc.intent.header-length	320
gc.intent.magic	KEEP:GC:INTENT2\0
gc.intent.maximum-candidates	65536
gc.intent.maximum-length	4718976
gc.intent.version	2
